Year,Tasa de Alfabetismo,Años Promedio de Escolaridad,Asistencia Escolar,Cambio % Asistencia Escolar,Cambio % Tasa de Alfabetismo,Cambio % Años de Escolaridad
2000-01-01,90.4508066640996,7.5,27030706.0,,,
2005-01-01,91.67,8.1,28588713.0,5.763841314392604,1.3479076426902603,7.999999999999985
2010-01-01,92.35,8.63,30482938.0,6.6257792017430095,0.7417912075924349,6.543209876543221
2015-01-01,93.623470489186,9.16184342150625,31972938.0,4.88798028588977,1.37896100615702,6.162727943293733
2020-01-01,95.0368532952485,9.73805046766345,31688007.0,-0.8911630204268328,1.5096458170985594,6.289204253421632
